track_id,condition_score,defects,failures,days_since_inspection,traffic_density,track_age,maintenance_duration,risk_score,risk_level
S047,28,10,1,30,35,38,2,64.35,HIGH
S048,94,9,0,44,30,28,6,38.63333333333333,MEDIUM
S049,94,9,4,25,53,15,6,47.66666666666667,MEDIUM
S050,60,3,2,30,36,21,4,39.65,MEDIUM
S051,60,1,0,34,99,38,1,44.016666666666666,MEDIUM
S052,29,8,1,37,53,10,3,56.91666666666667,HIGH
S053,28,3,2,23,40,30,5,50.93333333333333,MEDIUM
S054,58,9,5,38,21,37,3,64.33333333333334,HIGH
S055,33,2,2,12,33,37,2,46.3,MEDIUM
S056,54,4,4,18,63,15,6,50.0,MEDIUM
S057,53,8,3,21,26,7,6,48.25,MEDIUM
S058,74,4,0,5,62,10,6,28.43333333333333,LOW
S059,53,2,5,33,90,29,5,59.35,HIGH
S060,21,1,0,49,39,36,1,48.71666666666667,MEDIUM
S061,67,9,4,14,75,10,1,55.983333333333334,HIGH
S062,59,5,0,27,46,17,6,37.949999999999996,MEDIUM
S063,33,5,4,60,72,11,2,65.64999999999999,HIGH
S064,40,2,3,6,42,23,4,44.05,MEDIUM
S065,51,4,1,55,33,26,1,46.31666666666667,MEDIUM
S066,80,3,1,57,78,24,3,42.2,MEDIUM
S067,49,3,0,47,44,27,3,42.48333333333333,MEDIUM
S068,55,1,2,27,85,27,6,45.5,MEDIUM
S069,88,5,0,12,53,13,5,26.799999999999997,LOW
S070,53,0,0,43,75,24,6,38.516666666666666,MEDIUM
S071,60,6,4,37,34,26,5,53.76666666666667,MEDIUM
S072,44,4,0,50,75,2,5,44.88333333333333,MEDIUM
S073,88,10,5,52,45,25,4,60.266666666666666,HIGH
S074,28,10,2,44,60,9,6,66.18333333333334,HIGH
S075,58,8,2,47,72,22,4,58.733333333333334,HIGH
S076,57,8,1,17,73,26,6,52.18333333333334,MEDIUM
S077,42,9,4,24,71,37,1,71.3,HIGH
S078,58,4,1,32,94,40,6,53.03333333333334,MEDIUM
S079,61,7,3,33,47,34,4,55.75,HIGH
S080,41,10,0,23,85,23,1,60.03333333333334,HIGH
S081,50,10,2,19,45,11,1,53.666666666666664,MEDIUM
S082,25,3,3,44,29,31,4,56.93333333333334,HIGH
S083,93,3,5,49,69,33,4,49.86666666666667,MEDIUM
S084,51,2,5,49,20,8,4,46.866666666666674,MEDIUM
S085,48,2,5,38,79,5,5,54.03333333333334,MEDIUM
S086,51,1,3,13,79,35,5,48.46666666666667,MEDIUM
S087,60,7,4,57,84,29,5,67.35,HIGH
S088,77,2,5,60,80,30,3,55.4,HIGH
S089,51,10,2,54,86,33,6,70.85,HIGH
S090,50,4,3,9,56,17,3,46.15,MEDIUM
S091,62,5,4,10,37,11,2,43.36666666666666,MEDIUM
S092,69,2,5,18,28,28,4,42.5,MEDIUM
S093,62,8,3,31,27,15,4,49.36666666666666,MEDIUM
S094,69,9,5,6,93,26,4,63.75,HIGH
S095,20,5,2,53,69,28,5,66.18333333333334,HIGH
S096,89,9,1,36,48,19,4,42.25,MEDIUM
S097,82,0,3,26,71,12,4,32.38333333333333,LOW
S098,36,9,4,6,70,39,5,70.45,HIGH
S099,23,1,5,32,37,31,2,58.73333333333333,HIGH
S100,26,4,3,25,47,31,3,58.166666666666664,HIGH
